NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
1236,15.790,"dull (knife), blunt","tumpul, majal (w)",unjuL,unjuL mV-E  +SLG +LBH,Dondo,Lemba Harapan,120.3236,0.8088,,True,,,False,nan,mV-E   ,,,,,stative,property,kata sifat,1099,278,83.0,82.0,,,33.0
1237,15.780,sharp (knife),tajam,ontoL,ontoL mV-E SLG: untol +OYM~ LBH: mo'ountolE,Dondo,Oyom,120.8834,0.9103,,False,,,False,nan,mV-E  untol   mo'ountolE,,,,,stative,property,kata sifat,1098,279,256.0,81.0,,,133.0
1238,12.590,short (length),pendek,akodo' E,akodo' E -omo *mV- +GIO +SLG +BBA~ +DLU: kodo' ~ +LBH,Dondo,Gio,121.1257,1.2632,,False,,,False,nan,-omo *mV-    ,,,,,stative,prop / sta,kata sifat,1065,280,260.0,154.0,C86 E78 F78 G84,,134.0
1238,12.590,short (length),pendek,akodo' E,akodo' E -omo *mV- +GIO +SLG +BBA~ +DLU: kodo' ~ +LBH,Dondo,Salugan,120.8462,0.9142,,False,,,False,nan,-omo *mV-    ,,,,,stative,prop / sta,kata sifat,1065,280,260.0,154.0,C86 E78 F78 G84,,134.0
1238,12.590,short (length),pendek,akodo' E,akodo' E -omo *mV- +GIO +SLG +BBA~ +DLU: kodo' ~ +LBH,Dondo,Bonto' Buaya,120.8379,1.1959,,False,,,False,nan,-omo *mV-    ,,,,,stative,prop / sta,kata sifat,1065,280,260.0,154.0,C86 E78 F78 G84,,134.0
1238,12.590,short (length),pendek,akodo' E,akodo' E -omo *mV- +GIO +SLG +BBA~ +DLU: kodo' ~ +LBH,Dondo,Dulu/Lakatan,120.84,1.0944,,False,,,False,nan,-omo *mV-    ,,,,,stative,prop / sta,kata sifat,1065,280,260.0,154.0,C86 E78 F78 G84,,134.0
1238,12.590,short (length),pendek,kodo',akodo' E -omo *mV- +GIO +SLG +BBA~ +DLU: kodo' ~ +LBH,Dondo,Lemba Harapan,120.3236,0.8088,,False,,,False,nan,,,,,,stative,prop / sta,kata sifat,1065,280,260.0,154.0,C86 E78 F78 G84,,134.0
1239,12.320,"low, short (height)",rendah,aLioob E,aLioob E *mV- +SLG LBH: loobE/iloobE,Dondo,Salugan,120.8462,0.9142,,True,,,False,nan,*mV-   loobE,,,,,stative,property,kata sifat,1088,281*,259.0,154.0,,,
1239a,12.310,high (height),tinggi,alibaang E,GIO: alibaang E +DLU~  +BBA~,Dondo,Dulu/Lakatan,120.84,1.0944,,False,,,False,nan,,,,,,stative,property,kata sifat,1087,,0.0,0.0,,,
1239a,12.310,high (height),tinggi,alibaang E,GIO: alibaang E +DLU~  +BBA~,Dondo,Bonto' Buaya,120.8379,1.1959,,False,,,False,nan,,,,,,stative,property,kata sifat,1087,,0.0,0.0,,,
1240,12.570,long (object),panjang,aLenta' E,aLenta' E -omo  +SLG +LBH,Dondo,Salugan,120.8462,0.9142,,True,,,False,nan,-omo   ,,,,,stative,prop / sta,kata sifat,1063,282,173.0,155.0,C85 D13 E77 F77 G83,14.0,91.0
1240,12.570,long (object),panjang,aLenta' E,aLenta' E -omo  +SLG +LBH,Dondo,Lemba Harapan,120.3236,0.8088,,True,,,False,nan,-omo   ,,,,,stative,prop / sta,kata sifat,1063,282,173.0,155.0,C85 D13 E77 F77 G83,14.0,91.0
1241,08.425,rotten (fruit),busuk,buuk,"buuk mV-E +SLG +LBH [b] +OYM~, boro' mV-E -omo",Dondo,Salugan,120.8462,0.9142,,False,,,False,nan,mV-E    ,[b],,,,stative,state,kata sifat,1129,283,242.0,112.0,,,123.0
1241,08.425,rotten (fruit),busuk,buuk,"buuk mV-E +SLG +LBH [b] +OYM~, boro' mV-E -omo",Dondo,Lemba Harapan,120.3236,0.8088,,False,,,False,nan,mV-E    ,[b],,,,stative,state,kata sifat,1129,283,242.0,112.0,,,123.0
1241,08.425,rotten (fruit),busuk,buuk,"buuk mV-E +SLG +LBH [b] +OYM~, boro' mV-E -omo",Dondo,Oyom,120.8834,0.9103,,False,,,False,nan,mV-E    ,[b],,,,stative,state,kata sifat,1129,283,242.0,112.0,,,123.0
1242,15.380,sour,"masam, asam",doton,"doton mV-E  +SLG (makanan), LBH: ngilu mV-",Dondo,Salugan,120.8462,0.9142,,True,,,False,nan,mV-E   ,,(makanan),,,stative,property,kata sifat,1162,284,277.0,0.0,,,
1243,15.370,bitter,pahit,peit,peit mV-   +KPG +SLG +LBH,Dondo,Kinapasan/Lakatan,120.868,1.1007,,True,,,False,nan,mV-     ,,,,,stative,property,kata sifat,1163,285,22.0,0.0,,,
1243,15.370,bitter,pahit,peit,peit mV-   +KPG +SLG +LBH,Dondo,Salugan,120.8462,0.9142,,True,,,False,nan,mV-     ,,,,,stative,property,kata sifat,1163,285,22.0,0.0,,,
1243,15.370,bitter,pahit,peit,peit mV-   +KPG +SLG +LBH,Dondo,Lemba Harapan,120.3236,0.8088,,True,,,False,nan,mV-     ,,,,,stative,property,kata sifat,1163,285,22.0,0.0,,,
1244,15.350,sweet,manis,ëmis,ëmis mV-/E  +SLG +LBH,Dondo,Salugan,120.8462,0.9142,,True,,,False,nan,mV-/E   ,,,,,stative,property,kata sifat,1161,286,298.0,0.0,,,
1244,15.350,sweet,manis,ëmis,ëmis mV-/E  +SLG +LBH,Dondo,Lemba Harapan,120.3236,0.8088,,True,,,False,nan,mV-/E   ,,,,,stative,property,kata sifat,1161,286,298.0,0.0,,,
1245,15.250,fragrant,"harum, wangi",mbongi,mbongi mV- -mo mV-RDP1 93  +SLG +LBH,Dondo,Salugan,120.8462,0.9142,,True,,,False,nan,mV- -mo mV-RDP1  ,,,,,stative,,kata sifat,,287,122.0,0.0,,,
1245,15.250,fragrant,"harum, wangi",mbongi,mbongi mV- -mo mV-RDP1 93  +SLG +LBH,Dondo,Lemba Harapan,120.3236,0.8088,,True,,,False,nan,mV- -mo mV-RDP1  ,,,,,stative,,kata sifat,,287,122.0,0.0,,,
1246,05.146,full (satiated),kenyang,bosug,bosug mV-E   +GIO +LBH +DLU~ +BBA~  +SLG +OYM~,Dondo,Gio,121.1257,1.2632,,False,,,False,nan,mV-E         ,,,,,stative,,kata sifat,0134,293,125.0,0.0,,,
1246,05.146,full (satiated),kenyang,bosug,bosug mV-E   +GIO +LBH +DLU~ +BBA~  +SLG +OYM~,Dondo,Lemba Harapan,120.3236,0.8088,,False,,,False,nan,mV-E         ,,,,,stative,,kata sifat,0134,293,125.0,0.0,,,
1246,05.146,full (satiated),kenyang,bosug,bosug mV-E   +GIO +LBH +DLU~ +BBA~  +SLG +OYM~,Dondo,Dulu/Lakatan,120.84,1.0944,,False,,,False,nan,mV-E         ,,,,,stative,,kata sifat,0134,293,125.0,0.0,,,
1246,05.146,full (satiated),kenyang,bosug,bosug mV-E   +GIO +LBH +DLU~ +BBA~  +SLG +OYM~,Dondo,Bonto' Buaya,120.8379,1.1959,,False,,,False,nan,mV-E         ,,,,,stative,,kata sifat,0134,293,125.0,0.0,,,
1246,05.146,full (satiated),kenyang,bosug,bosug mV-E   +GIO +LBH +DLU~ +BBA~  +SLG +OYM~,Dondo,Salugan,120.8462,0.9142,,False,,,False,nan,mV-E         ,,,,,stative,,kata sifat,0134,293,125.0,0.0,,,
1246,05.146,full (satiated),kenyang,bosug,bosug mV-E   +GIO +LBH +DLU~ +BBA~  +SLG +OYM~,Dondo,Oyom,120.8834,0.9103,,False,,,False,nan,mV-E         ,,,,,stative,,kata sifat,0134,293,125.0,0.0,,,
1247,17.920,"other, different",lain (orang lain) ->12.230,tàntani,"tàntani  -an ""beda-beda""  +SLG +LBH: taintani",Dondo,Salugan,120.8462,0.9142,,True,,,False,nan,-an    ,,"""beda-beda""",,,stative,,kata sifat,,294,208.0,190.0,,,110.0
1247,17.920,"other, different",lain (orang lain) ->12.230,tàntani,"tàntani  -an ""beda-beda""  +SLG +LBH: taintani",Dondo,Lemba Harapan,120.3236,0.8088,,True,,,False,nan,-an    ,,"""beda-beda""",,,stative,,kata sifat,,294,208.0,190.0,,,110.0
1248,13.140,all,semua,joojoo,joojoo   +LBH +SLG +OYM~,Dondo,Lemba Harapan,120.3236,0.8088,,False,,,False,nan,,,,,,stati/adv,,kata sifat,1350,295,3.0,191.0,C81 D8 E73 F73 G79,9.0,1.0
1248,13.140,all,semua,joojoo,joojoo   +LBH +SLG +OYM~,Dondo,Salugan,120.8462,0.9142,,False,,,False,nan,,,,,,stati/adv,,kata sifat,1350,295,3.0,191.0,C81 D8 E73 F73 G79,9.0,1.0
1248,13.140,all,semua,joojoo,joojoo   +LBH +SLG +OYM~,Dondo,Oyom,120.8834,0.9103,,False,,,False,nan,,,,,,stati/adv,,kata sifat,1350,295,3.0,191.0,C81 D8 E73 F73 G79,9.0,1.0
1249,13.150,many,banyak,déisan,"déisan   +OYM~ +SLG: [déisa], apis mV-E",Dondo,Oyom,120.8834,0.9103,,False,,,False,nan,,,,,,stati/adv,,kata sifat,1339,296,177.0,0.0,C82 D9 E74 F74 G80,10.0,94.0
1249,13.150,many,banyak,déisan,"déisan   +OYM~ +SLG: [déisa], apis mV-E",Dondo,Salugan,120.8462,0.9142,,False,,,False,nan,,,,,,stati/adv,,kata sifat,1339,296,177.0,0.0,C82 D9 E74 F74 G80,10.0,94.0
1250,15.810,heavy,berat,bogat E,bogat E mV-E  +SLG +LBH,Dondo,Salugan,120.8462,0.9142,,True,,,False,nan,mV-E   ,,,,,stative,property,kata sifat,1095,297,137.0,142.0,,,70.0
1250,15.810,heavy,berat,bogat E,bogat E mV-E  +SLG +LBH,Dondo,Lemba Harapan,120.3236,0.8088,,True,,,False,nan,mV-E   ,,,,,stative,property,kata sifat,1095,297,137.0,142.0,,,70.0
1252,15.740,hard (substance),keras,ogas,ogas mV-E    +LBH +DLU +SLG +OYM~,Dondo,Lemba Harapan,120.3236,0.8088,,False,,,False,nan,mV-E       ,,,,,stative,property,kata sifat,1101,298,133.0,0.0,,,
1252,15.740,hard (substance),keras,ogas,ogas mV-E    +LBH +DLU +SLG +OYM~,Dondo,Dulu/Lakatan,120.84,1.0944,,False,,,False,nan,mV-E       ,,,,,stative,property,kata sifat,1101,298,133.0,0.0,,,
1252,15.740,hard (substance),keras,ogas,ogas mV-E    +LBH +DLU +SLG +OYM~,Dondo,Salugan,120.8462,0.9142,,False,,,False,nan,mV-E       ,,,,,stative,property,kata sifat,1101,298,133.0,0.0,,,
1252,15.740,hard (substance),keras,ogas,ogas mV-E    +LBH +DLU +SLG +OYM~,Dondo,Oyom,120.8834,0.9103,,False,,,False,nan,mV-E       ,,,,,stative,property,kata sifat,1101,298,133.0,0.0,,,
1253,15.880,dirty,kotor,LëBu,LëBu mV-  +SLG +LBH [b] +OYM~,Dondo,Salugan,120.8462,0.9142,,False,,,False,nan,mV-     ,[b],,,,stative,,kata sifat,,299,77.0,10.0,,,29.0
1253,15.880,dirty,kotor,LëBu,LëBu mV-  +SLG +LBH [b] +OYM~,Dondo,Lemba Harapan,120.3236,0.8088,,False,,,False,nan,mV-     ,[b],,,,stative,,kata sifat,,299,77.0,10.0,,,29.0
1253,15.880,dirty,kotor,LëBu,LëBu mV-  +SLG +LBH [b] +OYM~,Dondo,Oyom,120.8834,0.9103,,False,,,False,nan,mV-     ,[b],,,,stative,,kata sifat,,299,77.0,10.0,,,29.0
1254,12.730,straight,lurus,ndolong,ndolong mV-E mV-RDP1-E 93  +SLG +LBH,Dondo,Salugan,120.8462,0.9142,,True,,,False,nan,mV-E mV-RDP1-E  ,,,,,stative,property,kata sifat,1089,300,290.0,0.0,,,155.0
1254,12.730,straight,lurus,ndolong,ndolong mV-E mV-RDP1-E 93  +SLG +LBH,Dondo,Lemba Harapan,120.3236,0.8088,,True,,,False,nan,mV-E mV-RDP1-E  ,,,,,stative,property,kata sifat,1089,300,290.0,0.0,,,155.0
1255,12.832,round (spherical),bulat (spt bola),oLing,"Lonsing mV-E, oLing mV-E (H)  +SLG +LBH~",Dondo,Salugan,120.8462,0.9142,,False,,(H),False,nan,mV-E    ,,,,,stative,,kata sifat,1111,301,0.0,0.0,C92 D93 E84 F85 G90,98.0,
1255,12.832,round (spherical),bulat (spt bola),oLing,"Lonsing mV-E, oLing mV-E (H)  +SLG +LBH~",Dondo,Lemba Harapan,120.3236,0.8088,,False,,(H),False,nan,mV-E    ,,,,,stative,,kata sifat,1111,301,0.0,0.0,C92 D93 E84 F85 G90,98.0,
