NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0816a,19.250,"cane, walking stick",tongkat,to'ong    93P8,to'ong ~   93P8,Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,,,,,instrument,noun,,buatan manusia?,,,0.0,0.0,,,
0817,08.282,sow (placing seed in holes),tugal  menugal benih #conflate with 8.282#,,"=08.821 93P, BuBuy moN- -in-  ~ ""memasukkan tanaman di lubang"" 93P",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,=08.821,,,,,farming,intr / tr,action,,0662,,0.0,0.0,,,
0817,08.282,sow (placing seed in holes),tugal  menugal benih #conflate with 8.282#,BuBuy,"=08.821 93P, BuBuy moN- -in-  ~ ""memasukkan tanaman di lubang"" 93P",Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,moN- -in-    ,,"""memasukkan tanaman di lubang""",,farming,intr / tr,action,,0662,,0.0,0.0,,,
0818,08.310,sow (scattering the seeds),tabur  menabur benih,ulas,"ulas [h] moN- 'V- 'V-RDP2 ['ouláulas] ""menabur di mana-mana saja"" -in-~ (padi), ambur [h] moN-E 'V-RDP2 -in-~ 93V",Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,moN- 'V- 'V-RDP2   -in- ,"[h]', ""['ouláulas]","""menabur di mana-mana saja""', '(padi)",,farming,intr / tr,action,,0663,,0.0,0.0,,,
0818,08.310,sow (scattering the seeds),tabur  menabur benih,ambur,"ulas [h] moN- 'V- 'V-RDP2 ['ouláulas] ""menabur di mana-mana saja"" -in-~ (padi), ambur [h] moN-E 'V-RDP2 -in-~ 93V",Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,moN-E 'V-RDP2 -in- ,[h],,,farming,intr / tr,action,,0663,,0.0,0.0,,,
0819,08.340,thresh with the feet,injak padi,oyos,oyos moN-/N- -in-~ 'V-RDP2 93V mV-~ 'V-~ po'o-~,Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,moN-/N- -in- 'V-RDP2 mV- 'V- po'o-,,,,farming,tr,action,,0666,,0.0,0.0,,,
0820,08.370,winnow,tampi  menampi,tapi,tapi moN- RDP~ -in-~ -i~ 93P,Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,moN- RDP -in- -i ,,,,farming,tr,action,kata kerja,,408,362.0,0.0,,,
0821,08.489,knife for cutting rice plant,ani-ani,ra'opan,ra'opan,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,farming,noun,,,0651,,0.0,0.0,,,
0822,08.315,seedling (rice),"bibit (padi), benih",ambur,"=08.310, payol E (hijau)  =08.531, BBG: bine [']",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,=08.310,moN-E 'V-RDP2 -in- ,[h],,,,noun,,tumbuh-tumbuhan,0667,174*,0.0,0.0,C5 D23,,
0822,08.315,seedling (rice),"bibit (padi), benih",payol E,"=08.310, payol E (hijau)  =08.531, BBG: bine [']",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,=08.531,,,(hijau),,,noun,,tumbuh-tumbuhan,0667,174*,0.0,0.0,C5 D23,,
0822,08.315,seedling (rice),"bibit (padi), benih",bine,"=08.310, payol E (hijau)  =08.531, BBG: bine [']",Lauje,Bambanong,120.3348,0.7818,,True,,,False,nan,,['],,,,noun,,tumbuh-tumbuhan,0667,174*,0.0,0.0,C5 D23,,
0824,08.485,"ear of rice, corn","bulir, mayang",mbayang,"mbayang (kosong, tidak jadi), sëtindu ""setangkai (padi, bunga)"" 93",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,(kosong; tidak jadi),,farming,noun,,,0548,,0.0,0.0,,,
0824,08.485,"ear of rice, corn","bulir, mayang",sëtindu  93,"mbayang (kosong, tidak jadi), sëtindu ""setangkai (padi, bunga)"" 93",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,"""setangkai (padi; bunga)""",,farming,noun,,,0548,,0.0,0.0,,,
0825,08.121,"rice field (wet, sawah)",sawah,paruja,paruja (H),Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,(H),False,nan,,,,,farming,noun,,,0654,,0.0,0.0,,,
0826,08.122,small dike in rice field,pematang,kalawata,kalawata,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,farming,noun,,,0656,,0.0,0.0,,,
