NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0039,04.344,fingernail,kuku jari,tapod u lima,"tapod u lima, 'umbung E (also: ""finger-tip"") p51",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0107,033,111.0,0.0,C124 D44 E116 F120 G129,,
0039,04.344,fingernail,kuku jari,'umbung E,"tapod u lima, 'umbung E (also: ""finger-tip"") p51",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,"(also: ""finger-tip"")",,bodyparts,noun,,anggota tubuh,0107,033,111.0,0.0,C124 D44 E116 F120 G129,,
0040,04.320,elbow,siku,si'u,si'u  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0100,026,94.0,0.0,,,
0041,04.310,arm,lengan,lima,lima,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,,0095,,0.0,0.0,,,
0042,04.400,chest,dada,dodob E,dodob E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0041/42,035,46.0,0.0,,,
0043,04.410,breast,"susu, buah dada",susu,susu  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0044,036*,34.0,18.0,C130 D50 E122 G126 Sa18,51.0,
0044,04.412,nipple,puting susu,ba'i nu susu,ba'i nu susu,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,,0045,,0.0,0.0,,,
0045,04.411,suck at the breast,susu  menyusu,susu,susu moN%n-~ më--anE,Lauje,Bou,120.0175,0.6603,,False,,,False,nan,moN%n- më--anE,,,,body,intr,action,,0048,,0.0,0.0,,,
0046,04.415,milk,air susu,juu nu susu,juu nu susu,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,body,noun,mass,,0046,,0.0,0.0,,,
0047,04.280,neck,leher,tonuBu,tonuBu -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0038,023*,192.0,25.0,C129 D49 E121 F116 G125,50.0,103.0
