NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
1207,,thirty,tiga puluh,tolumpulu,tolumpulu [tolumpuu],Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,[tolumpuu],,,,number,,,1316,,0.0,0.0,,,
1207a,,forty,empat puluh,apampulu,apampulu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1317,,0.0,0.0,,,
1207b,,fifty,lima puluh,limampulu,limampulu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1318,,0.0,0.0,,,
1207c,,sixty,enam puluh,onompulu,onompulu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1319,,0.0,0.0,,,
1207d,,seventy,tujuh puluh,pitumpulu,pitumpulu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1320,,0.0,0.0,,,
1208,,eighty,delapan puluh,valumpulu,valumpulu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1321,,0.0,0.0,,,
1209,,ninety,sembilan puluh,sesiompulu,sesiompulu /  siompulu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1322,,0.0,0.0,,,
1209,,ninety,sembilan puluh,siompulu,sesiompulu /  siompulu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1322,,0.0,0.0,,,
1210,13.105,hundred,seratus,sagatus,sagatus,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1323,338,144.0,0.0,C79 E71 F71 G77 Sa84,,
1210a,13.105,two hundred,dua ratus,rogatus,rogatus,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1323a,,0.0,0.0,,,
